Breed,Trait,Trait_Score
Alaskan Malamutes,Coat Length,3
Cardigan Welsh Corgis,Coat Length,3
Giant Schnauzers,Coat Length,3
Old English Sheepdogs,Coat Length,5
Italian Greyhounds,Coat Length,1
Great Pyrenees,Coat Length,3
Dogues de Bordeaux,Coat Length,1
Russell Terriers,Coat Length,1
Cairn Terriers,Coat Length,3
Irish Wolfhounds,Coat Length,3
Setters (Irish),Coat Length,3
Greater Swiss Mountain Dogs,Coat Length,1
Miniature Pinschers,Coat Length,1
Lhasa Apsos,Coat Length,5
Chinese Crested,Coat Length,1
Coton de Tulear,Coat Length,5
Staffordshire Bull Terriers,Coat Length,1
American Staffordshire Terriers,Coat Length,1
Rat Terriers,Coat Length,1
Chow Chows,Coat Length,3
Anatolian Shepherd Dogs,Coat Length,1
Basenjis,Coat Length,1
Spaniels (Boykin),Coat Length,3
Lagotti Romagnoli,Coat Length,3
Brussels Griffons,Coat Length,1
Retrievers (Nova Scotia Duck Tolling),Coat Length,3
Norwegian Elkhounds,Coat Length,3
Standard Schnauzers,Coat Length,3
Dogo Argentinos,Coat Length,1
Bouviers des Flandres,Coat Length,3
Pekingese,Coat Length,5
Keeshonden,Coat Length,5
Border Terriers,Coat Length,1
Leonbergers,Coat Length,5
Tibetan Terriers,Coat Length,5
Neapolitan Mastiffs,Coat Length,1
Setters (English),Coat Length,3
Retrievers (Flat-Coated),Coat Length,3
Borzois,Coat Length,3
Fox Terriers (Wire),Coat Length,3
Miniature Bull Terriers,Coat Length,1
Belgian Tervuren,Coat Length,3
Setters (Gordon),Coat Length,3
Silky Terriers,Coat Length,5
Norwich Terriers,Coat Length,1
Spinoni Italiani,Coat Length,3
Japanese Chin,Coat Length,3
Welsh Terriers,Coat Length,3
Toy Fox Terriers,Coat Length,1
Schipperkes,Coat Length,1
Parson Russell Terriers,Coat Length,1
Pointers,Coat Length,1
Belgian Sheepdogs,Coat Length,3
Tibetan Spaniels,Coat Length,3
American Eskimo Dogs,Coat Length,3
Irish Terriers,Coat Length,3
Beaucerons,Coat Length,1
Afghan Hounds,Coat Length,5
Boerboels,Coat Length,1
Fox Terriers (Smooth),Coat Length,1
Bearded Collies,Coat Length,5
Black Russian Terriers,Coat Length,3
Black and Tan Coonhounds,Coat Length,1
Spaniels (Welsh Springer),Coat Length,3
American Hairless Terriers,Coat Length,1
Norfolk Terriers,Coat Length,1
Xoloitzcuintli,Coat Length,1
Manchester Terriers,Coat Length,1
Kerry Blue Terriers,Coat Length,3
Australian Terriers,Coat Length,1
Spaniels (Clumber),Coat Length,3
Lakeland Terriers,Coat Length,1
Bluetick Coonhounds,Coat Length,1
English Toy Spaniels,Coat Length,3
German Pinschers,Coat Length,1
Tibetan Mastiffs,Coat Length,3
Bedlington Terriers,Coat Length,3
Greyhounds,Coat Length,1
Pulik,Coat Length,5
Salukis,Coat Length,1
Barbets,Coat Length,3
Redbone Coonhounds,Coat Length,1
Swedish Vallhunds,Coat Length,1
Sealyham Terriers,Coat Length,3
Spanish Water Dogs,Coat Length,3
Briards,Coat Length,5
Berger Picards,Coat Length,3
Entlebucher Mountain Dogs,Coat Length,1
Treeing Walker Coonhounds,Coat Length,1
Icelandic Sheepdogs,Coat Length,3
Wirehaired Vizslas,Coat Length,1
Pumik,Coat Length,3
Portuguese Podengo Pequenos,Coat Length,3
Spaniels (American Water),Coat Length,3
Retrievers (Curly-Coated),Coat Length,1
Spaniels (Field),Coat Length,3
Lowchen,Coat Length,5
Nederlandse Kooikerhondjes,Coat Length,3
Affenpinschers,Coat Length,1
Petits Bassets Griffons Vendeens,Coat Length,5
Finnish Lapphunds,Coat Length,3
Scottish Deerhounds,Coat Length,3
Plott Hounds,Coat Length,Plott Hounds
Norwegian Buhunds,Coat Length,3
Glen of Imaal Terriers,Coat Length,3
Setters (Irish Red and White),Coat Length,3
Ibizan Hounds,Coat Length,1
Spaniels (Sussex),Coat Length,3
Bergamasco Sheepdogs,Coat Length,5
Spaniels (Irish Water),Coat Length,3
Polish Lowland Sheepdogs,Coat Length,5
Otterhounds,Coat Length,3
Kuvaszok,Coat Length,3
Komondorok,Coat Length,5
Cirnechi dell’Etna,Coat Length,1
Pharaoh Hounds,Coat Length,1
Dandie Dinmont Terriers,Coat Length,3
Pyrenean Shepherds,Coat Length,3
Skye Terriers,Coat Length,5
Canaan Dogs,Coat Length,1
American English Coonhounds,Coat Length,1
Chinooks,Coat Length,3
Finnish Spitz,Coat Length,3
Grand Basset Griffon Vendeens,Coat Length,3
Sloughis,Coat Length,1
Harriers,Coat Length,1
Cesky Terriers,Coat Length,3
American Foxhounds,Coat Length,1
Azawakhs,Coat Length,1
English Foxhounds,Coat Length,1
Norwegian Lundehunds,Coat Length,1
Retrievers (Labrador),Openness To Strangers,5
French Bulldogs,Openness To Strangers,5
German Shepherd Dogs,Openness To Strangers,3
Retrievers (Golden),Openness To Strangers,5
Bulldogs,Openness To Strangers,4
Poodles,Openness To Strangers,5
Beagles,Openness To Strangers,3
Rottweilers,Openness To Strangers,3
Pointers (German 1haired),Openness To Strangers,4
Dachshunds,Openness To Strangers,4
Pembroke Welsh Corgis,Openness To Strangers,4
Australian Shepherds,Openness To Strangers,3
Yorkshire Terriers,Openness To Strangers,5
Boxers,Openness To Strangers,4
Great Danes,Openness To Strangers,3
Siberian Huskies,Openness To Strangers,5
Cavalier King Charles Spaniels,Openness To Strangers,4
Doberman Pinschers,Openness To Strangers,4
Miniature Schnauzers,Openness To Strangers,3
Shih Tzu,Openness To Strangers,3
Boston Terriers,Openness To Strangers,5
Bernese Mountain Dogs,Openness To Strangers,4
Pomeranians,Openness To Strangers,3
Havanese,Openness To Strangers,5
Cane Corso,Openness To Strangers,3
Spaniels (English Springer),Openness To Strangers,4
Shetland Sheepdogs,Openness To Strangers,2
Brittanys,Openness To Strangers,3
Pugs,Openness To Strangers,5
Spaniels (Cocker),Openness To Strangers,4
Miniature American Shepherds,Openness To Strangers,3
Border Collies,Openness To Strangers,4
Mastiffs,Openness To Strangers,3
Chihuahuas,Openness To Strangers,2
Vizslas,Openness To Strangers,4
Basset Hounds,Openness To Strangers,3
Belgian Malinois,Openness To Strangers,3
Maltese,Openness To Strangers,3
Weimaraners,Openness To Strangers,3
Collies,Openness To Strangers,3
Newfoundlands,Openness To Strangers,5
Rhodesian Ridgebacks,Openness To Strangers,3
Shiba Inu,Openness To Strangers,3
West Highland White Terriers,Openness To Strangers,4
Bichons Frises,Openness To Strangers,5
Bloodhounds,Openness To Strangers,3
Spaniels (English Cocker),Openness To Strangers,4
Akitas,Openness To Strangers,2
Portuguese Water Dogs,Openness To Strangers,4
Retrievers (Chesapeake Bay),Openness To Strangers,3
Dalmatians,Openness To Strangers,4
St. Bernards,Openness To Strangers,3
Papillons,Openness To Strangers,5
Australian Cattle Dogs,Openness To Strangers,3
Bullmastiffs,Openness To Strangers,3
Samoyeds,Openness To Strangers,5
Scottish Terriers,Openness To Strangers,3
Soft Coated Wheaten Terriers,Openness To Strangers,3
Whippets,Openness To Strangers,3
Pointers (German Wirehaired),Openness To Strangers,4
Chinese Shar-Pei,Openness To Strangers,3
Airedale Terriers,Openness To Strangers,3
Wirehaired Pointing Griffons,Openness To Strangers,5
Bull Terriers,Openness To Strangers,4
Alaskan Malamutes,Openness To Strangers,3
Cardigan Welsh Corgis,Openness To Strangers,4
Giant Schnauzers,Openness To Strangers,3
Old English Sheepdogs,Openness To Strangers,3
Italian Greyhounds,Openness To Strangers,5
Great Pyrenees,Openness To Strangers,3
Dogues de Bordeaux,Openness To Strangers,3
Russell Terriers,Openness To Strangers,5
Cairn Terriers,Openness To Strangers,3
Irish Wolfhounds,Openness To Strangers,3
Setters (Irish),Openness To Strangers,5
Greater Swiss Mountain Dogs,Openness To Strangers,5
Miniature Pinschers,Openness To Strangers,3
Lhasa Apsos,Openness To Strangers,3
Chinese Crested,Openness To Strangers,4
Coton de Tulear,Openness To Strangers,5
Staffordshire Bull Terriers,Openness To Strangers,4
American Staffordshire Terriers,Openness To Strangers,4
Rat Terriers,Openness To Strangers,5
Chow Chows,Openness To Strangers,2
Anatolian Shepherd Dogs,Openness To Strangers,1
Basenjis,Openness To Strangers,3
Spaniels (Boykin),Openness To Strangers,3
Lagotti Romagnoli,Openness To Strangers,4
Brussels Griffons,Openness To Strangers,4
Retrievers (Nova Scotia Duck Tolling),Openness To Strangers,3
Norwegian Elkhounds,Openness To Strangers,4
Standard Schnauzers,Openness To Strangers,3
Dogo Argentinos,Openness To Strangers,4
Bouviers des Flandres,Openness To Strangers,3
Pekingese,Openness To Strangers,3
Keeshonden,Openness To Strangers,5
Border Terriers,Openness To Strangers,4
Leonbergers,Openness To Strangers,5
Tibetan Terriers,Openness To Strangers,3
Neapolitan Mastiffs,Openness To Strangers,3
Setters (English),Openness To Strangers,4
Retrievers (Flat-Coated),Openness To Strangers,5
Borzois,Openness To Strangers,3
Fox Terriers (Wire),Openness To Strangers,5
Miniature Bull Terriers,Openness To Strangers,3
Belgian Tervuren,Openness To Strangers,3
Setters (Gordon),Openness To Strangers,3
Silky Terriers,Openness To Strangers,4
Norwich Terriers,Openness To Strangers,5
Spinoni Italiani,Openness To Strangers,3
Japanese Chin,Openness To Strangers,3
Welsh Terriers,Openness To Strangers,5
Toy Fox Terriers,Openness To Strangers,5
Schipperkes,Openness To Strangers,3
Parson Russell Terriers,Openness To Strangers,3
Pointers,Openness To Strangers,4
Belgian Sheepdogs,Openness To Strangers,3
Tibetan Spaniels,Openness To Strangers,4
American Eskimo Dogs,Openness To Strangers,5
Irish Terriers,Openness To Strangers,3
Beaucerons,Openness To Strangers,2
Afghan Hounds,Openness To Strangers,3
Boerboels,Openness To Strangers,3
Fox Terriers (Smooth),Openness To Strangers,3
Bearded Collies,Openness To Strangers,4
Black Russian Terriers,Openness To Strangers,2
Black and Tan Coonhounds,Openness To Strangers,3
Spaniels (Welsh Springer),Openness To Strangers,1
American Hairless Terriers,Openness To Strangers,3
Norfolk Terriers,Openness To Strangers,5
Xoloitzcuintli,Openness To Strangers,3
Manchester Terriers,Openness To Strangers,3
Kerry Blue Terriers,Openness To Strangers,3
Australian Terriers,Openness To Strangers,3
Spaniels (Clumber),Openness To Strangers,4
Lakeland Terriers,Openness To Strangers,3
Bluetick Coonhounds,Openness To Strangers,3
English Toy Spaniels,Openness To Strangers,3
German Pinschers,Openness To Strangers,3
Tibetan Mastiffs,Openness To Strangers,1
Bedlington Terriers,Openness To Strangers,3
Greyhounds,Openness To Strangers,3
Pulik,Openness To Strangers,3
Salukis,Openness To Strangers,3
Barbets,Openness To Strangers,3
Redbone Coonhounds,Openness To Strangers,3
Swedish Vallhunds,Openness To Strangers,3
Sealyham Terriers,Openness To Strangers,4
Spanish Water Dogs,Openness To Strangers,3
Briards,Openness To Strangers,3
Berger Picards,Openness To Strangers,3
Entlebucher Mountain Dogs,Openness To Strangers,3
Treeing Walker Coonhounds,Openness To Strangers,3
Icelandic Sheepdogs,Openness To Strangers,3
Wirehaired Vizslas,Openness To Strangers,5
Pumik,Openness To Strangers,3
Portuguese Podengo Pequenos,Openness To Strangers,3
Spaniels (American Water),Openness To Strangers,3
Retrievers (Curly-Coated),Openness To Strangers,3
Spaniels (Field),Openness To Strangers,4
Lowchen,Openness To Strangers,3
Nederlandse Kooikerhondjes,Openness To Strangers,4
Affenpinschers,Openness To Strangers,5
Petits Bassets Griffons Vendeens,Openness To Strangers,4
Finnish Lapphunds,Openness To Strangers,4
Scottish Deerhounds,Openness To Strangers,3
Plott Hounds,Openness To Strangers,0
Norwegian Buhunds,Openness To Strangers,3
Glen of Imaal Terriers,Openness To Strangers,3
Setters (Irish Red and White),Openness To Strangers,5
Ibizan Hounds,Openness To Strangers,3
Spaniels (Sussex),Openness To Strangers,3
Bergamasco Sheepdogs,Openness To Strangers,3
Spaniels (Irish Water),Openness To Strangers,3
Polish Lowland Sheepdogs,Openness To Strangers,3
Otterhounds,Openness To Strangers,4
Kuvaszok,Openness To Strangers,3
Komondorok,Openness To Strangers,3
Cirnechi dell’Etna,Openness To Strangers,3
Pharaoh Hounds,Openness To Strangers,3
Dandie Dinmont Terriers,Openness To Strangers,4
Pyrenean Shepherds,Openness To Strangers,3
Skye Terriers,Openness To Strangers,3
Canaan Dogs,Openness To Strangers,3
American English Coonhounds,Openness To Strangers,3
Chinooks,Openness To Strangers,3
Finnish Spitz,Openness To Strangers,3
Grand Basset Griffon Vendeens,Openness To Strangers,5
Sloughis,Openness To Strangers,2
Harriers,Openness To Strangers,4
Cesky Terriers,Openness To Strangers,4
American Foxhounds,Openness To Strangers,3
Azawakhs,Openness To Strangers,1
English Foxhounds,Openness To Strangers,4
Norwegian Lundehunds,Openness To Strangers,3
Retrievers (Labrador),Playfulness Level,5
French Bulldogs,Playfulness Level,5
German Shepherd Dogs,Playfulness Level,4
Retrievers (Golden),Playfulness Level,4
Bulldogs,Playfulness Level,4
Poodles,Playfulness Level,5
Beagles,Playfulness Level,4
Rottweilers,Playfulness Level,4
Pointers (German 1haired),Playfulness Level,4
Dachshunds,Playfulness Level,4
Pembroke Welsh Corgis,Playfulness Level,4
Australian Shepherds,Playfulness Level,4
Yorkshire Terriers,Playfulness Level,4
Boxers,Playfulness Level,4
Great Danes,Playfulness Level,4
Siberian Huskies,Playfulness Level,5
Cavalier King Charles Spaniels,Playfulness Level,3
Doberman Pinschers,Playfulness Level,4
Miniature Schnauzers,Playfulness Level,4
Shih Tzu,Playfulness Level,3
Boston Terriers,Playfulness Level,5
Bernese Mountain Dogs,Playfulness Level,4
Pomeranians,Playfulness Level,3
Havanese,Playfulness Level,5
Cane Corso,Playfulness Level,3
Spaniels (English Springer),Playfulness Level,4
Shetland Sheepdogs,Playfulness Level,5
Brittanys,Playfulness Level,4
Pugs,Playfulness Level,5
Spaniels (Cocker),Playfulness Level,3
Miniature American Shepherds,Playfulness Level,4
Border Collies,Playfulness Level,5
Mastiffs,Playfulness Level,3
Chihuahuas,Playfulness Level,4
Vizslas,Playfulness Level,5
Basset Hounds,Playfulness Level,3
Belgian Malinois,Playfulness Level,3
Maltese,Playfulness Level,3
Weimaraners,Playfulness Level,5
Collies,Playfulness Level,4
Newfoundlands,Playfulness Level,3
Rhodesian Ridgebacks,Playfulness Level,3
Shiba Inu,Playfulness Level,3
West Highland White Terriers,Playfulness Level,5
Bichons Frises,Playfulness Level,4
Bloodhounds,Playfulness Level,3
Spaniels (English Cocker),Playfulness Level,3
Akitas,Playfulness Level,3
Portuguese Water Dogs,Playfulness Level,5
Retrievers (Chesapeake Bay),Playfulness Level,3
Dalmatians,Playfulness Level,4
St. Bernards,Playfulness Level,3
Papillons,Playfulness Level,5
Australian Cattle Dogs,Playfulness Level,3
Bullmastiffs,Playfulness Level,3
Samoyeds,Playfulness Level,5
Scottish Terriers,Playfulness Level,4
Soft Coated Wheaten Terriers,Playfulness Level,3
Whippets,Playfulness Level,4
Pointers (German Wirehaired),Playfulness Level,4
Chinese Shar-Pei,Playfulness Level,3
Airedale Terriers,Playfulness Level,3
Wirehaired Pointing Griffons,Playfulness Level,4
Bull Terriers,Playfulness Level,4
Alaskan Malamutes,Playfulness Level,3
Cardigan Welsh Corgis,Playfulness Level,4
Giant Schnauzers,Playfulness Level,4
Old English Sheepdogs,Playfulness Level,4
Italian Greyhounds,Playfulness Level,4
Great Pyrenees,Playfulness Level,3
Dogues de Bordeaux,Playfulness Level,3
Russell Terriers,Playfulness Level,5
Cairn Terriers,Playfulness Level,4
Irish Wolfhounds,Playfulness Level,3
Setters (Irish),Playfulness Level,5
Greater Swiss Mountain Dogs,Playfulness Level,4
Miniature Pinschers,Playfulness Level,4
Lhasa Apsos,Playfulness Level,3
Chinese Crested,Playfulness Level,3
Coton de Tulear,Playfulness Level,4
Staffordshire Bull Terriers,Playfulness Level,4
American Staffordshire Terriers,Playfulness Level,3
Rat Terriers,Playfulness Level,5
Chow Chows,Playfulness Level,3
Anatolian Shepherd Dogs,Playfulness Level,3
Basenjis,Playfulness Level,3
Spaniels (Boykin),Playfulness Level,4
Lagotti Romagnoli,Playfulness Level,4
Brussels Griffons,Playfulness Level,4
Retrievers (Nova Scotia Duck Tolling),Playfulness Level,5
Norwegian Elkhounds,Playfulness Level,4
Standard Schnauzers,Playfulness Level,4
Dogo Argentinos,Playfulness Level,4
Bouviers des Flandres,Playfulness Level,3
Pekingese,Playfulness Level,4
Keeshonden,Playfulness Level,5
Border Terriers,Playfulness Level,4
Leonbergers,Playfulness Level,3
Tibetan Terriers,Playfulness Level,3
Neapolitan Mastiffs,Playfulness Level,2
Setters (English),Playfulness Level,4
Retrievers (Flat-Coated),Playfulness Level,5
Borzois,Playfulness Level,3
Fox Terriers (Wire),Playfulness Level,4
Miniature Bull Terriers,Playfulness Level,4
Belgian Tervuren,Playfulness Level,3
Setters (Gordon),Playfulness Level,3
Silky Terriers,Playfulness Level,4
Norwich Terriers,Playfulness Level,4
Spinoni Italiani,Playfulness Level,3
Japanese Chin,Playfulness Level,3
Welsh Terriers,Playfulness Level,4
Toy Fox Terriers,Playfulness Level,4
Schipperkes,Playfulness Level,4
Parson Russell Terriers,Playfulness Level,4
Pointers,Playfulness Level,4
Belgian Sheepdogs,Playfulness Level,3
Tibetan Spaniels,Playfulness Level,4
American Eskimo Dogs,Playfulness Level,3
Irish Terriers,Playfulness Level,3
Beaucerons,Playfulness Level,3
Afghan Hounds,Playfulness Level,3
Boerboels,Playfulness Level,3
Fox Terriers (Smooth),Playfulness Level,4
Bearded Collies,Playfulness Level,4
Black Russian Terriers,Playfulness Level,3
Black and Tan Coonhounds,Playfulness Level,3
Spaniels (Welsh Springer),Playfulness Level,3
American Hairless Terriers,Playfulness Level,3
Norfolk Terriers,Playfulness Level,4
Xoloitzcuintli,Playfulness Level,4
Manchester Terriers,Playfulness Level,4
Kerry Blue Terriers,Playfulness Level,3
Australian Terriers,Playfulness Level,4
Spaniels (Clumber),Playfulness Level,3
Lakeland Terriers,Playfulness Level,4
Bluetick Coonhounds,Playfulness Level,3
English Toy Spaniels,Playfulness Level,4
German Pinschers,Playfulness Level,4
Tibetan Mastiffs,Playfulness Level,3
Bedlington Terriers,Playfulness Level,3
Greyhounds,Playfulness Level,3
Pulik,Playfulness Level,3
Salukis,Playfulness Level,3
Barbets,Playfulness Level,3
Redbone Coonhounds,Playfulness Level,3
Swedish Vallhunds,Playfulness Level,4
Sealyham Terriers,Playfulness Level,3
Spanish Water Dogs,Playfulness Level,4
Briards,Playfulness Level,3
Berger Picards,Playfulness Level,3
Entlebucher Mountain Dogs,Playfulness Level,3
Treeing Walker Coonhounds,Playfulness Level,4
Icelandic Sheepdogs,Playfulness Level,3
Wirehaired Vizslas,Playfulness Level,5
Pumik,Playfulness Level,4
Portuguese Podengo Pequenos,Playfulness Level,4
Spaniels (American Water),Playfulness Level,3
Retrievers (Curly-Coated),Playfulness Level,4
Spaniels (Field),Playfulness Level,3
Lowchen,Playfulness Level,4
Nederlandse Kooikerhondjes,Playfulness Level,3
Affenpinschers,Playfulness Level,3
Petits Bassets Griffons Vendeens,Playfulness Level,4
Finnish Lapphunds,Playfulness Level,3
Scottish Deerhounds,Playfulness Level,3
Plott Hounds,Playfulness Level,0
Norwegian Buhunds,Playfulness Level,3
Glen of Imaal Terriers,Playfulness Level,3
Setters (Irish Red and White),Playfulness Level,3
Ibizan Hounds,Playfulness Level,4
Spaniels (Sussex),Playfulness Level,4
Bergamasco Sheepdogs,Playfulness Level,3
Spaniels (Irish Water),Playfulness Level,5
Polish Lowland Sheepdogs,Playfulness Level,4
Otterhounds,Playfulness Level,3
Kuvaszok,Playfulness Level,3
Komondorok,Playfulness Level,3
Cirnechi dell’Etna,Playfulness Level,4
Pharaoh Hounds,Playfulness Level,3
Dandie Dinmont Terriers,Playfulness Level,3
Pyrenean Shepherds,Playfulness Level,5
Skye Terriers,Playfulness Level,3
Canaan Dogs,Playfulness Level,3
American English Coonhounds,Playfulness Level,3
Chinooks,Playfulness Level,3
Finnish Spitz,Playfulness Level,3
Grand Basset Griffon Vendeens,Playfulness Level,4
Sloughis,Playfulness Level,3
Harriers,Playfulness Level,4
Cesky Terriers,Playfulness Level,3
American Foxhounds,Playfulness Level,3
Azawakhs,Playfulness Level,3
English Foxhounds,Playfulness Level,4
Norwegian Lundehunds,Playfulness Level,3
Retrievers (Labrador),Watchdog/Protective Nature,3
French Bulldogs,Watchdog/Protective Nature,3
German Shepherd Dogs,Watchdog/Protective Nature,5
Retrievers (Golden),Watchdog/Protective Nature,3
Bulldogs,Watchdog/Protective Nature,3
Poodles,Watchdog/Protective Nature,5
Beagles,Watchdog/Protective Nature,2
Rottweilers,Watchdog/Protective Nature,5
Pointers (German 1haired),Watchdog/Protective Nature,4
Dachshunds,Watchdog/Protective Nature,4
Pembroke Welsh Corgis,Watchdog/Protective Nature,5
Australian Shepherds,Watchdog/Protective Nature,3
Yorkshire Terriers,Watchdog/Protective Nature,5
Boxers,Watchdog/Protective Nature,4
Great Danes,Watchdog/Protective Nature,5
Siberian Huskies,Watchdog/Protective Nature,1
Cavalier King Charles Spaniels,Watchdog/Protective Nature,3
Doberman Pinschers,Watchdog/Protective Nature,5
Miniature Schnauzers,Watchdog/Protective Nature,4
Shih Tzu,Watchdog/Protective Nature,3
Boston Terriers,Watchdog/Protective Nature,3
Bernese Mountain Dogs,Watchdog/Protective Nature,3
Pomeranians,Watchdog/Protective Nature,4
Havanese,Watchdog/Protective Nature,3
Cane Corso,Watchdog/Protective Nature,5
Spaniels (English Springer),Watchdog/Protective Nature,3
Shetland Sheepdogs,Watchdog/Protective Nature,5
Brittanys,Watchdog/Protective Nature,3
Pugs,Watchdog/Protective Nature,3
Spaniels (Cocker),Watchdog/Protective Nature,3
Miniature American Shepherds,Watchdog/Protective Nature,3
Border Collies,Watchdog/Protective Nature,3
Mastiffs,Watchdog/Protective Nature,5
Chihuahuas,Watchdog/Protective Nature,4
Vizslas,Watchdog/Protective Nature,3
Basset Hounds,Watchdog/Protective Nature,3
Belgian Malinois,Watchdog/Protective Nature,4
Maltese,Watchdog/Protective Nature,4
Weimaraners,Watchdog/Protective Nature,5
Collies,Watchdog/Protective Nature,3
Newfoundlands,Watchdog/Protective Nature,5
Rhodesian Ridgebacks,Watchdog/Protective Nature,5
Shiba Inu,Watchdog/Protective Nature,5
West Highland White Terriers,Watchdog/Protective Nature,5
Bichons Frises,Watchdog/Protective Nature,2
Bloodhounds,Watchdog/Protective Nature,2
Spaniels (English Cocker),Watchdog/Protective Nature,3
Akitas,Watchdog/Protective Nature,5
Portuguese Water Dogs,Watchdog/Protective Nature,4
Retrievers (Chesapeake Bay),Watchdog/Protective Nature,4
Dalmatians,Watchdog/Protective Nature,4
St. Bernards,Watchdog/Protective Nature,5
Papillons,Watchdog/Protective Nature,4
Australian Cattle Dogs,Watchdog/Protective Nature,4
Bullmastiffs,Watchdog/Protective Nature,5
Samoyeds,Watchdog/Protective Nature,4
Scottish Terriers,Watchdog/Protective Nature,5
Soft Coated Wheaten Terriers,Watchdog/Protective Nature,3
Whippets,Watchdog/Protective Nature,3
Pointers (German Wirehaired),Watchdog/Protective Nature,3
Chinese Shar-Pei,Watchdog/Protective Nature,4
Airedale Terriers,Watchdog/Protective Nature,5
Wirehaired Pointing Griffons,Watchdog/Protective Nature,3
Bull Terriers,Watchdog/Protective Nature,3
Alaskan Malamutes,Watchdog/Protective Nature,4
Cardigan Welsh Corgis,Watchdog/Protective Nature,3
Giant Schnauzers,Watchdog/Protective Nature,5
Old English Sheepdogs,Watchdog/Protective Nature,4
Italian Greyhounds,Watchdog/Protective Nature,3
Great Pyrenees,Watchdog/Protective Nature,5
Dogues de Bordeaux,Watchdog/Protective Nature,5
Russell Terriers,Watchdog/Protective Nature,4
Cairn Terriers,Watchdog/Protective Nature,4
Irish Wolfhounds,Watchdog/Protective Nature,5
Setters (Irish),Watchdog/Protective Nature,3
Greater Swiss Mountain Dogs,Watchdog/Protective Nature,4
Miniature Pinschers,Watchdog/Protective Nature,5
Lhasa Apsos,Watchdog/Protective Nature,5
Chinese Crested,Watchdog/Protective Nature,3
Coton de Tulear,Watchdog/Protective Nature,3
Staffordshire Bull Terriers,Watchdog/Protective Nature,5
American Staffordshire Terriers,Watchdog/Protective Nature,5
Rat Terriers,Watchdog/Protective Nature,4
Chow Chows,Watchdog/Protective Nature,5
Anatolian Shepherd Dogs,Watchdog/Protective Nature,5
Basenjis,Watchdog/Protective Nature,3
Spaniels (Boykin),Watchdog/Protective Nature,3
Lagotti Romagnoli,Watchdog/Protective Nature,3
Brussels Griffons,Watchdog/Protective Nature,3
Retrievers (Nova Scotia Duck Tolling),Watchdog/Protective Nature,3
Norwegian Elkhounds,Watchdog/Protective Nature,5
Standard Schnauzers,Watchdog/Protective Nature,5
Dogo Argentinos,Watchdog/Protective Nature,5
Bouviers des Flandres,Watchdog/Protective Nature,4
Pekingese,Watchdog/Protective Nature,4
Keeshonden,Watchdog/Protective Nature,5
Border Terriers,Watchdog/Protective Nature,3
Leonbergers,Watchdog/Protective Nature,4
Tibetan Terriers,Watchdog/Protective Nature,4
Neapolitan Mastiffs,Watchdog/Protective Nature,5
Setters (English),Watchdog/Protective Nature,3
Retrievers (Flat-Coated),Watchdog/Protective Nature,3
Borzois,Watchdog/Protective Nature,3
Fox Terriers (Wire),Watchdog/Protective Nature,4
Miniature Bull Terriers,Watchdog/Protective Nature,4
Belgian Tervuren,Watchdog/Protective Nature,4
Setters (Gordon),Watchdog/Protective Nature,4
Silky Terriers,Watchdog/Protective Nature,5
Norwich Terriers,Watchdog/Protective Nature,4
Spinoni Italiani,Watchdog/Protective Nature,3
Japanese Chin,Watchdog/Protective Nature,3
Welsh Terriers,Watchdog/Protective Nature,4
Toy Fox Terriers,Watchdog/Protective Nature,5
Schipperkes,Watchdog/Protective Nature,5
Parson Russell Terriers,Watchdog/Protective Nature,3
Pointers,Watchdog/Protective Nature,3
Belgian Sheepdogs,Watchdog/Protective Nature,4
Tibetan Spaniels,Watchdog/Protective Nature,4
American Eskimo Dogs,Watchdog/Protective Nature,3
Irish Terriers,Watchdog/Protective Nature,5
Beaucerons,Watchdog/Protective Nature,4
Afghan Hounds,Watchdog/Protective Nature,3
Boerboels,Watchdog/Protective Nature,5
Fox Terriers (Smooth),Watchdog/Protective Nature,5
Bearded Collies,Watchdog/Protective Nature,3
Black Russian Terriers,Watchdog/Protective Nature,5
Black and Tan Coonhounds,Watchdog/Protective Nature,2
Spaniels (Welsh Springer),Watchdog/Protective Nature,3
American Hairless Terriers,Watchdog/Protective Nature,3
Norfolk Terriers,Watchdog/Protective Nature,4
Xoloitzcuintli,Watchdog/Protective Nature,3
Manchester Terriers,Watchdog/Protective Nature,4
Kerry Blue Terriers,Watchdog/Protective Nature,5
Australian Terriers,Watchdog/Protective Nature,4
Spaniels (Clumber),Watchdog/Protective Nature,3
Lakeland Terriers,Watchdog/Protective Nature,3
Bluetick Coonhounds,Watchdog/Protective Nature,2
English Toy Spaniels,Watchdog/Protective Nature,3
German Pinschers,Watchdog/Protective Nature,4
Tibetan Mastiffs,Watchdog/Protective Nature,5
Bedlington Terriers,Watchdog/Protective Nature,4
Greyhounds,Watchdog/Protective Nature,3
Pulik,Watchdog/Protective Nature,5
Salukis,Watchdog/Protective Nature,1
Barbets,Watchdog/Protective Nature,3
Redbone Coonhounds,Watchdog/Protective Nature,3
Swedish Vallhunds,Watchdog/Protective Nature,3
Sealyham Terriers,Watchdog/Protective Nature,5
Spanish Water Dogs,Watchdog/Protective Nature,3
Briards,Watchdog/Protective Nature,4
Berger Picards,Watchdog/Protective Nature,4
Entlebucher Mountain Dogs,Watchdog/Protective Nature,5
Treeing Walker Coonhounds,Watchdog/Protective Nature,3
